Dist,L,λ/steps,Noise,Shots,Backend,Fidelity,TVD,TVD±1σ,JSD
EXP,3,0.30000000000000004,high,8192,ibm_mumbai,0.9988551310319682,0.020572216611957805,0.0206±0.0051,0.0005717767004308508
EXP,3,0.4,high,8192,ibm_mumbai,0.9982261192388672,0.024050080011558415,0.0241±0.0050,0.0008852141675970212
EXP,3,0.5,high,8192,ibm_mumbai,0.9961086443237618,0.02918199120281759,0.0292±0.0049,0.0019296971226642743
EXP,3,0.6,high,8192,ibm_mumbai,0.99486286262329,0.029907808026643907,0.0299±0.0047,0.002509537624403713
EXP,3,0.7000000000000001,high,8192,ibm_mumbai,0.9919610780602762,0.031120024738962897,0.0311±0.0046,0.0038303375138381457
EXP,3,0.8,high,8192,ibm_mumbai,0.9894850434149796,0.03922368199651998,0.0392±0.0045,0.004866535159792119
EXP,3,0.9,high,8192,ibm_mumbai,0.9864421635120852,0.03505556297006981,0.0351±0.0043,0.006058839327934567
EXP,3,1.0,high,8192,ibm_mumbai,0.9836936222938115,0.03700558108153376,0.0370±0.0042,0.007095293864688014
EXP,3,0.1,low,4096,ibm_toronto,0.9993244115660063,0.019143245972748753,0.0191±0.0075,0.00033777591794271426
EXP,3,0.2,low,4096,ibm_toronto,0.9993163752911983,0.0175391469818787,0.0175±0.0074,0.0003417489964676337
EXP,3,0.30000000000000004,low,4096,ibm_toronto,0.9983532301828814,0.021060012378233954,0.0211±0.0072,0.0008213312831483132
EXP,3,0.4,low,4096,ibm_toronto,0.9985748816606895,0.024799172228783514,0.0248±0.0070,0.000711849796018247
EXP,3,0.5,low,4096,ibm_toronto,0.9980092792827033,0.025156719877860487,0.0252±0.0068,0.0009907113945026185
EXP,3,0.6,low,4096,ibm_toronto,0.9964427905497435,0.029034423904465916,0.0290±0.0067,0.001742791552833353
EXP,3,0.7000000000000001,low,4096,ibm_toronto,0.9954656993549027,0.03040644067672419,0.0304±0.0065,0.0022079557043064553
EXP,3,0.8,low,4096,ibm_toronto,0.9941582458535416,0.03005719709845535,0.0301±0.0063,0.002766603288117507
EXP,3,0.9,low,4096,ibm_toronto,0.9918834607937167,0.027780454939384316,0.0278±0.0061,0.0037245013279056816
EXP,3,1.0,low,4096,ibm_toronto,0.9904589268716713,0.027972307828921662,0.0280±0.0059,0.00425723005656904
EXP,3,0.1,medium,4096,ibm_toronto,0.9993244115660063,0.019143245972748753,0.0191±0.0075,0.00033777591794271426
EXP,3,0.2,medium,4096,ibm_toronto,0.9994151862436415,0.016812669284530006,0.0168±0.0074,0.0002923615386888292
EXP,3,0.30000000000000004,medium,4096,ibm_toronto,0.9989101185753291,0.02077390703908223,0.0208±0.0072,0.0005441928477068893
EXP,3,0.4,medium,4096,ibm_toronto,0.9985748816606895,0.024799172228783514,0.0248±0.0070,0.000711849796018247
EXP,3,0.5,medium,4096,ibm_toronto,0.9980092792827033,0.025156719877860487,0.0252±0.0068,0.0009907113945026185
EXP,3,0.6,medium,4096,ibm_toronto,0.9963073027647036,0.02740104191250633,0.0274±0.0067,0.001811602880045541
EXP,3,0.7000000000000001,medium,4096,ibm_toronto,0.9954656993549027,0.03040644067672419,0.0304±0.0065,0.0022079557043064553
EXP,3,0.8,medium,4096,ibm_toronto,0.9937276469222596,0.02871275974080272,0.0287±0.0063,0.0029776120051349998
EXP,3,0.9,medium,4096,ibm_toronto,0.9936181077178803,0.02248037623724087,0.0225±0.0061,0.0029120688678051588
EXP,3,1.0,medium,4096,ibm_toronto,0.9914225924182386,0.029439176133840186,0.0294±0.0059,0.0038321102672634654
EXP,3,0.1,high,4096,ibm_toronto,0.9993244115660063,0.019143245972748753,0.0191±0.0075,0.00033777591794271426
